instruction,input,output
What is Dwarves Foundation?,,"Dwarves Foundation is an agile team of craftsmen that has worked with companies of various sizes since 2013 to build world-class quality products and lead the road to success. They cover areas that are usually hard to get right - from design, branding, development, consulting and offshore. They have a cultivated engineering culture that focuses on building quality products and take care of the whole product cycle so you can truly focus on the business. They offer services such as ideation, design thinking, development, offshore development, user research, experience design, digital product design, consulting and managed services. They have expertise in Elixir, Node.js, React, TypeScript, Docker, Kubernetes, GCP/AWS, Swift, React Native, Blockchain and Hyperledger."
Who is the current software design group lead at Dwarves?,,Hoang Nguyen is the software design group lead at Dwarves.
What is Dwarves Foundation's manifesto?,,"Dwarves Foundation’s manifesto is called “The Dwarven Principles”. It is their definition of engineering philosophy, the guiding ideas that shape how they think and work, which helps them ensure the core values and deliver top-grade software. The principles include:

Craftsmanship: Well-crafted software
Quality pays: Quality is always the top priority
Mind the Details: Details matter
The Boring Solution: When in doubt, go with the boring solution
Think long-term: Good codes and good processes require good brains, thus they want to avoid burnouts
Applications Need Solid Foundations: Much similar to building a house, software products rely on a solid foundation
Nothing is permanent: Software moves fast"
What is Dwarves Foundation's engineering drive?,,"Dwarves Foundation’s engineering drive is to build a company where software engineering could shine, innovative products are shipped and change the world for the better."
What is programming languages do engineers use at Dwarves Foundation?,,"They apply cutting-edge technology that matters such as Go, Elixir, Swift, Flutter, ReactJS and TypeScript. They also have a Tech Radar that assesses and adopts new technology."
What is a Tech Radar at Dwarves Foundation?,,"Inspired by Thoughtworks, the radar is how Dwarves assess and adopt new technology. We pick out promising tech from the industry, then put it through an assessment process before deciding whether or not to adopt it."
"How much ICY did Dwarves Foundation give out at week 14, 2023?",,Dwarves have given out a total of 144 ICY on week 14 of 2023.
"How much ICY did Dwarves Foundation give out at week 15, 2023?",,Dwarves have given out a total of 33 ICY on week 14 of 2023.
What articles have Dwarves Foundation posted to Hashnode and their blogs?,,"So far, they have posts on: Lessons learned from concurrency practices in blockchain projects, Cost of React Native, What is PNPM?, Unit testing best practices in Golang, Database Designs for Multilingual Apps, Continuous Translation, I18n Frontend guideline, Accelerate Project Initiation with Advanced NextJS-Boilerplate & React-Toolkit, A Case Study Interview into Micro-Frontends: Building Design System for E-commerce Platform, Case study: How blue-green deployment helped Mochi, Micro-Frontend - What & Why?, From Multi-Repo to Monorepo: A Case Study with NgheNhan Turbo Monorepo, Why We Chose Our Tech Stack: Accelerating Development with a Robust Frontend Solution, Optimizing queries for Big Database, Common challenges - Feature Flag."
Where is Dwarves Foundation's brainery located at?,,It is hosted at https://brain.d.foundation/. You can view their latest notes at brain.d.foundation/Latest+Notes.
What is the delivery leaderboard at Dwarves Foundation?,,"A leaderboard to celebrate top performers at Dwarves as well as some project team delivery highlights, updated every week."
How many minigames have Dwarves Foundation hosted so far?,,About 33 minigames as of time of writing. The latest minigame featured a voucher ticket for purchases at the Decathalon.
Where can I find Dwarves Foundation's handbook?,,They host their handbook on their GitHub at https://github.com/dwarvesf/handbook.
Why did Dwarves Foundation create their handbook?,,"Before 2019, they didn’t have a handbook. In those first five years, when a new person joined the company, they were expected to figure things out for themselves. However, when they grew from a company of 10, 20 employees to a company of over 40, our “introduction by immersion” style stopped working. New hires felt lost and isolated, and their first weeks or even months on the job were stressful because of it. There’s as much to unlearn as there is to learn. Prior to this handbook, navigating that path was both somewhat random and almost entirely oral."
What is Dwarves Foundation's Agile Minifesto?,,"The Dwarves Foundation’s Agile Minifesto is a set of guiding principles that help them develop software in a better way. It is inspired by the Agile Manifesto1. The Agile Minifesto consists of several principles, including “Running Lean,” “Deliver as fast as possible,” “Aim for simplicity,” and “Fail fast, learn often.”
- Running lean - Lean philosophy regards everything not adding values to the customer as waste. In order to eliminate waste, one should be able to recognize it. Partially done work, extra processes like paperwork and features not often used by customers are waste. Rework or unnecessarily complex solutions are waste. Waiting for other activities, teams, processes is waste. Managerial overhead not producing real values is waste.
- Deliver as fast as possible - Make it work. Perfect is an enemy of good. Look for perfection, but not yet. First do it, then do it right, then do it better. Any sufficiently complex system cannot be built out of design, it has to be evolved. The shorter the iterations, the better the learning and communication within the team. The sooner the end product is delivered without major defects, the sooner feedback can be received, and incorporated into the next iteration.
- Aim for simplicity - Simplicity is complicated. Simple is harder than complex. We have to write code for humans not machines. We want readability. Readable means Reliable. It's easier to understand. It's easier to work on. If it breaks, it's easier to fix."
What is Dwarves Foundation's community all hands?,,"An event hosted every end of the month on Friday, at a Discord stage where we talk about our company progress along with notable news and wins across the month. After every community all hands, we host a company dinner where everyone working at Dwarves are invited."
What clubs are there at Dwarves Foundation?,,"Dwarves currently have 4 clubs running at the moment:
- Board game club - a club to play board games together. It can be a great way to socialize, meet new people, and have fun while playing games.
- Running club - a club for people who enjoy running.
- English club - a club to improve English skills as well as go out at meet new people using English.
- Software design - a club to share anything directly or indirectly related to software design, to help others investigate what works in the software industry."
What is WALA at Dwarves Foundation?,,"WALA: to walk around, learn around. A way for Dwarves to take a break from sitting at their computers and to go out and connect with new people and understand other businesses."
How many WALAs has Dwarves Foundation done so far?,,"Dwarves have done 2 WALAs so far:
1. WALA #1 was at DZS Media, a notable film production company at District 7 in Ho Chi Minh City.
2. WALA #2 was at 43 factory, a specialty coffee shop located in Da Nang."
What is ICY?,,"A Dwarves Network token. They use it to reward the network members. The cryptocurrency token was designed and created by the engineers at Dwarves, to help bridge connections, effort, work, and research between the Dwarves Foundation and the community."
How do you earn ICY?,,"By participating in server activities at Dwarves hosted on their Discord server
+ Contribute to brainery: https://brain.d.foundation/, i.e., merge a note
+ Create publications on Dwarves' memo, hashnode, and related blogs
+ Giving a talk and participating in events
+ Sharing and discussing topics
+ Inviting new friends
+ Be an ambassador and share about Dwarves
+ Seasonal quests"
Where do you find quests to earn ICY?,,You can visit the page at https://earn.d.foundation/ hosted by Dwarves Foundation to see the list of open quests and research and development (R&D) topics.
